,country,season,location,bpy,visit
0,Ireland,winter,urban,15,yes
1,Iceland,spring,urban,48,yes
2,USA,winter,rural,19,no
3,Iceland,summer,rural,308,no
4,UK,summer,urban,31,yes
5,Ireland,winter,rural,18,yes
6,Brazil,autumn,urban,45,no
7,Brazil,autumn,urban,453,no
8,Iceland,autumn,urban,46,no
9,Brazil,spring,rural,358,no
10,UK,winter,rural,485,yes
11,Ireland,winter,rural,10,no
12,USA,spring,urban,388,yes
13,Iceland,summer,urban,176,yes
14,Brazil,winter,urban,285,no
15,UK,summer,rural,81,yes
16,Ireland,summer,rural,196,no
17,Brazil,spring,urban,328,yes
18,Iceland,summer,rural,21,yes
19,UK,spring,urban,465,no
20,Brazil,winter,rural,219,no
21,USA,winter,urban,24,no
22,Iceland,spring,rural,268,yes
23,USA,autumn,rural,309,yes
24,UK,winter,urban,55,no
25,Brazil,summer,urban,107,yes
26,Ireland,autumn,rural,386,no
27,UK,summer,rural,102,no
28,USA,summer,urban,83,yes
29,Iceland,spring,rural,117,no
30,Brazil,winter,urban,271,yes
31,Brazil,summer,urban,374,yes
32,Iceland,autumn,rural,66,yes
33,USA,spring,rural,175,yes
34,Iceland,winter,rural,85,yes
35,USA,autumn,rural,312,yes
36,Iceland,autumn,urban,189,no
37,Brazil,autumn,rural,70,no
38,USA,winter,rural,477,yes
39,UK,winter,urban,426,no
40,USA,winter,rural,141,yes
41,Ireland,summer,rural,427,yes
42,Brazil,autumn,rural,487,no
43,Iceland,winter,urban,371,yes
44,UK,autumn,urban,3,yes
45,Brazil,summer,rural,352,yes
46,UK,winter,urban,457,yes
47,UK,winter,urban,293,yes
48,Ireland,summer,urban,8,yes
49,Iceland,spring,rural,127,yes
50,Ireland,autumn,rural,419,yes
51,USA,summer,urban,281,yes
52,UK,winter,urban,375,yes
53,USA,winter,rural,148,yes
54,UK,summer,rural,282,no
55,Iceland,summer,urban,476,yes
56,Brazil,summer,urban,138,yes
57,USA,summer,urban,435,no
58,Iceland,autumn,urban,469,yes
59,Brazil,spring,rural,330,yes
60,UK,winter,urban,295,no
61,Brazil,winter,rural,184,yes
62,Brazil,spring,urban,306,no
63,Ireland,summer,urban,196,no
64,Ireland,autumn,rural,11,no
65,Brazil,autumn,urban,178,no
66,Iceland,summer,rural,279,no
67,Brazil,winter,rural,109,yes
68,Iceland,summer,urban,361,yes
69,UK,spring,urban,58,yes
70,Brazil,autumn,rural,204,no
71,UK,spring,urban,164,yes
72,USA,winter,urban,426,no
73,UK,summer,rural,454,no
74,Brazil,autumn,rural,197,no
75,Brazil,winter,rural,387,yes
76,USA,winter,rural,177,yes
77,Ireland,summer,urban,309,no
78,USA,spring,rural,387,no
79,Ireland,spring,rural,334,yes
80,UK,spring,rural,7,no
81,USA,autumn,urban,25,yes
82,Ireland,spring,urban,131,yes
83,Iceland,autumn,rural,374,no
84,Brazil,autumn,urban,348,no
85,Ireland,winter,rural,7,no
86,USA,summer,urban,222,no
87,USA,winter,rural,180,no
88,USA,winter,urban,360,yes
89,Brazil,winter,urban,27,no
90,USA,spring,rural,315,yes
91,Iceland,spring,rural,292,yes
92,Brazil,winter,urban,36,yes
93,UK,spring,rural,269,no
94,USA,autumn,urban,322,yes
95,UK,spring,rural,491,yes
96,Iceland,summer,urban,236,yes
97,Brazil,summer,rural,263,no
98,Iceland,autumn,rural,222,no
99,Brazil,spring,rural,269,yes
100,Brazil,summer,urban,380,yes
101,USA,winter,rural,56,yes
102,UK,autumn,rural,110,yes
103,USA,spring,rural,231,yes
104,USA,winter,rural,233,no
105,Ireland,spring,rural,28,no
106,Brazil,spring,urban,22,yes
107,USA,spring,urban,473,yes
108,Brazil,autumn,urban,262,no
109,Iceland,summer,rural,169,yes
110,Iceland,winter,rural,44,yes
111,UK,autumn,urban,316,yes
112,Iceland,autumn,urban,477,yes
113,Iceland,autumn,urban,356,yes
114,USA,winter,urban,284,no
115,UK,autumn,urban,158,no
116,Ireland,summer,rural,265,yes
117,UK,summer,rural,50,no
118,Brazil,winter,rural,298,yes
119,Iceland,autumn,rural,162,yes
120,Ireland,autumn,urban,140,no
121,UK,summer,rural,88,yes
122,UK,winter,rural,477,no
123,UK,summer,urban,396,yes
124,Ireland,spring,rural,143,yes
125,Brazil,spring,urban,87,yes
126,USA,autumn,rural,127,yes
127,Brazil,spring,urban,117,no
128,UK,winter,urban,281,no
129,Brazil,autumn,rural,122,yes
130,Iceland,summer,rural,188,no
131,Brazil,spring,rural,156,no
132,USA,spring,rural,426,no
133,Ireland,winter,urban,140,yes
134,UK,spring,urban,116,no
135,USA,winter,urban,137,no
136,Ireland,summer,urban,197,yes
137,UK,winter,urban,255,no
138,USA,summer,rural,182,yes
139,Iceland,autumn,rural,20,yes
140,Brazil,winter,urban,202,yes
141,UK,spring,urban,111,no
142,UK,autumn,rural,379,no
143,Brazil,spring,urban,414,yes
144,USA,spring,urban,59,yes
145,UK,spring,urban,30,no
146,Ireland,winter,rural,268,yes
147,Iceland,spring,urban,99,yes
148,UK,spring,urban,451,yes
149,Brazil,summer,urban,216,yes
150,UK,autumn,urban,209,yes
151,Ireland,spring,rural,396,yes
152,Iceland,spring,rural,431,no
153,Brazil,winter,urban,231,no
154,USA,autumn,urban,318,yes
155,Iceland,spring,rural,113,no
156,Iceland,summer,urban,378,no
157,UK,spring,urban,361,yes
158,Iceland,autumn,rural,208,yes
159,USA,winter,rural,401,no
160,USA,spring,rural,147,no
161,Brazil,winter,urban,63,no
162,Brazil,winter,urban,473,no
163,Brazil,autumn,urban,261,yes
164,UK,winter,rural,150,yes
165,UK,autumn,urban,142,no
166,Iceland,spring,urban,485,yes
167,Brazil,autumn,rural,333,yes
168,Brazil,autumn,rural,173,no
169,USA,winter,urban,401,no
170,Iceland,summer,rural,338,no
171,Ireland,winter,rural,42,yes
172,Iceland,summer,rural,421,no
173,Iceland,winter,rural,301,yes
174,Brazil,autumn,rural,15,yes
175,UK,summer,urban,417,yes
176,Brazil,summer,urban,412,no
177,USA,winter,rural,41,yes
178,Ireland,summer,rural,220,yes
179,Ireland,autumn,rural,192,no
180,UK,autumn,urban,17,yes
181,Ireland,autumn,urban,141,no
182,Iceland,summer,urban,323,yes
183,Iceland,winter,urban,407,yes
184,Ireland,summer,rural,395,no
185,UK,spring,rural,239,yes
186,USA,winter,urban,456,no
187,Brazil,spring,urban,119,no
188,Ireland,autumn,urban,278,no
189,Brazil,summer,urban,160,no
190,USA,spring,urban,102,no
191,Iceland,spring,urban,362,no
192,USA,summer,urban,469,yes
193,Ireland,winter,rural,59,no
194,Iceland,autumn,urban,427,no
195,UK,summer,urban,352,no
196,Ireland,autumn,urban,435,no
197,Ireland,autumn,urban,384,no
198,Brazil,spring,urban,133,yes
199,Ireland,summer,urban,404,yes
200,Brazil,spring,urban,311,no
201,Iceland,autumn,urban,328,yes
202,UK,summer,rural,349,no
203,USA,summer,urban,481,yes
204,USA,spring,rural,44,no
205,Ireland,summer,rural,407,no
206,Iceland,winter,urban,219,yes
207,UK,summer,rural,289,no
208,Ireland,autumn,rural,319,yes
209,Brazil,winter,urban,331,yes
210,Ireland,winter,rural,211,no
